Productos,Imagenes
Consola PlayStation 5 Slim: Ratchet & Clank: Rift Apart y Returnal,https://backoffice.max.com.gt/media/catalog/product/P/S/PS5STDBUNGAME2_1_1.jpg
Consola PlayStation 5 Digital: Ratchet & Clank: Rift Apart y Returnal,https://backoffice.max.com.gt/media/catalog/product/P/S/PS5DIGBUNGAME2_1_1.jpg
Control Sony PS5 DualSense Edge Inalámbrico,https://backoffice.max.com.gt/media/catalog/product/P/S/PS5DUALEDGE_1.jpg
Estación de Carga Sony PS5 para Controles DualSense,https://backoffice.max.com.gt/media/catalog/product/p/s/ps5charging.jpg
Headset Sony PS5 PULSE 3D Inalámbrico,https://backoffice.max.com.gt/media/catalog/product/p/s/ps5headset_1_1.jpg
Control Nintendo Switch HORI Split Pad Compact Gris Claro/Amarillo,https://backoffice.max.com.gt/media/catalog/product/n/s/nsw373u.jpg
Juego PS5 God of War: Ragnarök,https://backoffice.max.com.gt/media/catalog/product/P/S/PS5GODOFWARRAG_1_16012023150830.jpg
Juego PS5 Gran Turismo 7,https://backoffice.max.com.gt/media/catalog/product/p/s/ps5turismo7_1_.jpeg
Unidad de Disco Sony para Consola PS5 Digital,https://backoffice.max.com.gt/media/catalog/product/P/S/PS5DGDISCDRIVE_1.png
Juego PS5 Marvel's Spider-Man 2,https://backoffice.max.com.gt/media/catalog/product/P/S/PS5SPIDERMAN2_1_16062023115440.jpg
Juego PS5 The Last of Us Part II Remastered,https://backoffice.max.com.gt/media/catalog/product/P/S/PS5LASTOFUS2RM_1.png
"PS5 headset pulse elite inalámbricos, Blanco.",https://backoffice.max.com.gt/media/catalog/product/P/S/PS5PULSELITE_1.jpg
